YellowCards,RedCards,Goals,Assists,MinutesPlayed,Games,PlayerId,Season,Position,Age,YellowDiff,RedDiff,GoalsDiff,AssistsDiff,MinutesPlayedDiff,GamesDiff,IsLastSeason
2,1,4,7,2301,35,3333,2012,Midfield,27,,,,,,,False
8,0,2,10,2024,41,3333,2013,Midfield,28,6,-1,-2,3,-277,6,False
6,0,8,8,2543,43,3333,2014,Midfield,29,-2,0,6,-2,519,2,False
11,0,7,14,3446,41,3333,2015,Midfield,30,5,0,-1,6,903,-2,False
5,0,7,3,3159,36,3333,2016,Midfield,31,-6,0,0,-11,-287,-5,False
3,0,1,11,2787,47,3333,2017,Midfield,32,-2,0,-6,8,-372,11,False
9,0,7,7,2777,44,3333,2018,Midfield,33,6,0,6,-4,-10,-3,False
7,0,2,3,1528,35,3333,2019,Midfield,34,-2,0,-5,-4,-1249,-9,False
6,0,0,1,1663,35,3333,2020,Midfield,35,-1,0,-2,-2,135,0,False
5,0,0,3,1256,36,3333,2021,Midfield,36,-1,0,0,2,-407,1,False
3,0,0,1,1247,42,3333,2022,Midfield,37,-2,0,0,-2,-9,6,False
3,0,0,2,955,20,3333,2023,Midfield,38,0,0,0,1,-292,-22,True
5,0,0,0,2869,32,71271,2012,Goalkeeper,28,,,,,,,False
2,0,0,0,1890,21,71271,2013,Goalkeeper,29,-3,0,0,0,-979,-11,False
3,1,0,0,3781,42,71271,2014,Goalkeeper,30,1,1,0,0,1891,21,False
1,1,0,0,3180,35,71271,2015,Goalkeeper,31,-2,0,0,0,-601,-7,False
1,0,0,0,1620,18,71271,2016,Goalkeeper,32,0,-1,0,0,-1560,-17,False
2,0,0,0,1710,19,71271,2017,Goalkeeper,33,1,0,0,0,90,1,False
0,0,0,0,180,2,71271,2018,Goalkeeper,34,-2,0,0,0,-1530,-17,False
1,0,0,0,1563,18,71271,2019,Goalkeeper,35,1,0,0,0,1383,16,False
0,0,0,0,360,4,71271,2020,Goalkeeper,36,-1,0,0,0,-1203,-14,False
0,0,0,0,90,1,71271,2022,Goalkeeper,37,0,0,0,0,-270,-3,True
0,0,0,0,90,1,45494,2013,Goalkeeper,29,,,,,,,False
0,0,0,0,395,5,45494,2014,Goalkeeper,30,0,0,0,0,305,4,False
1,0,0,0,3180,35,45494,2015,Goalkeeper,31,1,0,0,0,2785,30,False
1,0,0,0,2700,30,45494,2016,Goalkeeper,32,0,0,0,0,-480,-5,False
1,0,0,0,2520,28,45494,2017,Goalkeeper,33,0,0,0,0,-180,-2,False
0,0,0,0,1755,20,45494,2018,Goalkeeper,34,-1,0,0,0,-765,-8,False
0,0,0,0,360,4,45494,2019,Goalkeeper,35,0,0,0,0,-1395,-16,False
0,0,0,0,360,4,45494,2021,Goalkeeper,36,0,0,0,0,0,0,False
0,0,0,0,361,5,45494,2022,Goalkeeper,37,0,0,0,0,1,1,True
4,0,0,1,4500,50,52570,2012,Goalkeeper,25,,,,,,,False
1,0,0,0,4590,51,52570,2013,Goalkeeper,26,-3,0,0,-1,90,1,False
1,0,0,0,3254,37,52570,2014,Goalkeeper,27,0,0,0,0,-1336,-14,False
0,0,0,0,1620,18,52570,2015,Goalkeeper,28,-1,0,0,0,-1634,-19,False
3,0,0,0,3960,44,52570,2016,Goalkeeper,29,3,0,0,0,2340,26,False
0,0,0,0,1800,20,52570,2017,Goalkeeper,30,-3,0,0,0,-2160,-24,False
0,0,0,0,90,1,52570,2018,Goalkeeper,31,0,0,0,0,-1710,-19,False
2,0,0,0,3330,37,52570,2019,Goalkeeper,32,2,0,0,0,3240,36,False
0,0,0,0,1170,13,52570,2020,Goalkeeper,33,-2,0,0,0,-2160,-24,False
1,0,0,0,2010,22,52570,2021,Goalkeeper,34,1,0,0,0,840,9,False
1,0,0,0,1665,19,52570,2022,Goalkeeper,35,0,0,0,0,-345,-3,False
0,0,0,0,90,1,52570,2023,Goalkeeper,36,-1,0,0,0,-1575,-18,True
1,0,0,1,2757,31,33027,2012,Goalkeeper,28,,,,,,,False
0,0,0,0,3240,36,33027,2013,Goalkeeper,29,-1,0,0,-1,483,5,False
1,0,0,1,2700,30,33027,2014,Goalkeeper,30,1,0,0,1,-540,-6,False
0,0,0,0,720,8,33027,2015,Goalkeeper,31,-1,0,0,-1,-1980,-22,False
0,0,0,0,1650,18,33027,2016,Goalkeeper,32,0,0,0,0,930,10,False
0,0,0,0,315,4,33027,2017,Goalkeeper,33,0,0,0,0,-1335,-14,False
4,0,0,0,3480,38,33027,2019,Goalkeeper,34,4,0,0,0,3165,34,False
1,0,0,0,2790,31,33027,2021,Goalkeeper,35,-3,0,0,0,-690,-7,False
0,0,0,0,450,5,33027,2023,Goalkeeper,36,-1,0,0,0,-2340,-26,True
2,0,3,6,2239,30,43530,2012,Midfield,25,,,,,,,False
3,0,10,8,3288,41,43530,2013,Midfield,26,1,0,7,2,1049,11,False
4,0,6,3,2450,37,43530,2014,Midfield,27,1,0,-4,-5,-838,-4,False
3,0,7,7,3092,43,43530,2015,Midfield,28,-1,0,1,4,642,6,False
3,0,8,7,2363,32,43530,2016,Midfield,29,0,0,1,0,-729,-11,False
1,0,0,1,456,15,43530,2017,Midfield,30,-2,0,-8,-6,-1907,-17,False
2,0,0,0,568,16,43530,2018,Midfield,31,1,0,0,-1,112,1,False
1,0,1,1,690,20,43530,2019,Midfield,32,-1,0,1,1,122,4,False
0,0,1,1,1669,31,43530,2020,Midfield,33,-1,0,0,0,979,11,False
4,0,0,1,1668,26,43530,2021,Midfield,34,4,0,-1,0,-1,-5,False
0,0,3,1,773,17,43530,2022,Midfield,35,-4,0,3,0,-895,-9,False
2,0,0,1,629,21,43530,2023,Midfield,36,2,0,-3,0,-144,4,True
0,0,0,0,2070,23,74960,2013,Goalkeeper,26,,,,,,,False
0,0,0,0,3600,40,74960,2014,Goalkeeper,27,0,0,0,0,1530,17,False
0,0,0,0,1710,19,74960,2015,Goalkeeper,28,0,0,0,0,-1890,-21,False
0,0,0,0,1260,14,74960,2017,Goalkeeper,29,0,0,0,0,-450,-5,False
1,0,0,0,3420,38,74960,2018,Goalkeeper,30,1,0,0,0,2160,24,False
0,0,0,0,3510,39,74960,2019,Goalkeeper,31,-1,0,0,0,90,1,False
0,0,0,0,1290,14,74960,2020,Goalkeeper,32,0,0,0,0,-2220,-25,False
1,0,0,0,2610,29,74960,2021,Goalkeeper,33,1,0,0,0,1320,15,False
0,0,0,0,246,3,74960,2022,Goalkeeper,34,-1,0,0,0,-2364,-26,False
1,0,0,0,1354,16,74960,2023,Goalkeeper,35,1,0,0,0,1108,13,True
12,0,3,1,3960,44,156501,2016,Defender,28,,,,,,,False
8,1,4,2,3544,40,156501,2017,Defender,29,-4,1,1,1,-416,-4,False
12,0,2,1,3426,38,156501,2018,Defender,30,4,-1,-2,-1,-118,-2,False
10,0,2,0,3091,36,156501,2019,Defender,31,-2,0,0,-1,-335,-2,False
8,0,0,0,2615,38,156501,2020,Defender,32,-2,0,-2,0,-476,2,False
9,2,2,1,2150,35,156501,2021,Defender,33,1,2,2,1,-465,-3,False
4,0,0,1,1702,20,156501,2022,Defender,34,-5,-2,-2,0,-448,-15,False
1,0,0,1,253,4,156501,2023,Defender,35,-3,0,0,0,-1449,-16,True
1,0,0,0,930,10,111819,2012,Goalkeeper,24,,,,,,,False
5,0,0,0,4410,49,111819,2013,Goalkeeper,25,4,0,0,0,3480,39,False
5,0,0,0,3420,38,111819,2014,Goalkeeper,26,0,0,0,0,-990,-11,False
0,0,0,0,780,8,111819,2015,Goalkeeper,27,-5,0,0,0,-2640,-30,False
0,0,0,0,1215,14,111819,2016,Goalkeeper,28,0,0,0,0,435,6,False
2,0,0,0,2970,33,111819,2017,Goalkeeper,29,2,0,0,0,1755,19,False
2,0,0,0,3870,43,111819,2018,Goalkeeper,30,0,0,0,0,900,10,False
1,0,0,0,450,5,111819,2019,Goalkeeper,31,-1,0,0,0,-3420,-38,False
0,0,0,0,1110,12,111819,2020,Goalkeeper,32,-1,0,0,0,660,7,False
0,0,0,0,450,5,111819,2021,Goalkeeper,33,0,0,0,0,-660,-7,False
4,0,0,0,2385,27,111819,2022,Goalkeeper,34,4,0,0,0,1935,22,False
4,0,0,0,1890,21,111819,2023,Goalkeeper,35,0,0,0,0,-495,-6,True
5,0,4,6,3083,40,92469,2015,Midfield,28,,,,,,,False
6,0,3,6,2992,37,92469,2017,Midfield,29,1,0,-1,0,-91,-3,False
10,0,3,9,3212,39,92469,2018,Midfield,30,4,0,0,3,220,2,False
4,0,2,2,1619,22,92469,2019,Midfield,31,-6,0,-1,-7,-1593,-17,False
2,0,0,3,1425,19,92469,2020,Midfield,32,-2,0,-2,1,-194,-3,False
5,0,0,2,1502,20,92469,2021,Midfield,33,3,0,0,-1,77,1,False
0,0,0,0,125,8,92469,2022,Midfield,34,-5,0,0,-2,-1377,-12,False
1,0,0,0,218,11,92469,2023,Midfield,35,1,0,0,0,93,3,True
5,0,1,1,3105,35,74810,2016,Defender,28,,,,,,,False
5,0,0,0,2700,30,74810,2017,Defender,29,0,0,-1,-1,-405,-5,False
10,0,0,3,3810,42,74810,2018,Defender,30,5,0,0,3,1110,12,False
7,0,1,1,2880,32,74810,2019,Defender,31,-3,0,1,-2,-930,-10,False
3,0,2,0,2814,31,74810,2020,Defender,32,-4,0,1,-1,-66,-1,False
3,0,3,0,1930,22,74810,2021,Defender,33,0,0,1,0,-884,-9,False
2,0,3,2,3362,38,74810,2022,Defender,34,-1,0,0,2,1432,16,False
0,1,2,0,1232,15,74810,2023,Defender,35,-2,1,-1,-2,-2130,-23,True
3,0,1,1,2709,31,66934,2012,Midfield,24,,,,,,,False
3,1,0,1,3016,35,66934,2013,Midfield,25,0,1,-1,0,307,4,False
5,0,4,3,2752,32,66934,2014,Midfield,26,2,-1,4,2,-264,-3,False
6,2,5,4,3587,41,66934,2015,Midfield,27,1,2,1,1,835,9,False
3,0,3,0,2987,34,66934,2016,Midfield,28,-3,-2,-2,-4,-600,-7,False
5,0,2,3,2892,34,66934,2017,Midfield,29,2,0,-1,3,-95,0,False
3,0,0,3,2161,35,66934,2018,Midfield,30,-2,0,-2,0,-731,1,False
4,0,1,1,2626,36,66934,2019,Midfield,31,1,0,1,-2,465,1,False
4,0,1,0,3168,37,66934,2020,Midfield,32,0,0,0,-1,542,1,False
3,0,1,1,2293,31,66934,2021,Midfield,33,-1,0,0,1,-875,-6,False
3,0,1,0,878,21,66934,2022,Midfield,34,0,0,0,-1,-1415,-10,False
3,0,0,0,339,12,66934,2023,Midfield,35,0,0,-1,0,-539,-9,True
7,0,1,0,1671,21,55742,2015,Midfield,32,,,,,,,False
13,0,1,4,2960,35,55742,2016,Midfield,33,6,0,0,4,1289,14,False
5,0,1,0,1052,14,55742,2017,Midfield,34,-8,0,0,-4,-1908,-21,False
10,0,0,1,2009,25,55742,2018,Midfield,35,5,0,-1,1,957,11,True
1,0,4,0,735,10,52059,2012,Defender,23,,,,,,,False
1,0,0,0,562,13,52059,2013,Defender,24,0,0,-4,0,-173,3,False
8,2,2,1,3639,42,52059,2014,Defender,25,7,2,2,1,3077,29,False
5,1,4,0,3585,40,52059,2015,Defender,26,-3,-1,2,-1,-54,-2,False
10,0,2,1,3765,42,52059,2016,Defender,27,5,-1,-2,1,180,2,False
6,0,0,2,3630,40,52059,2017,Defender,28,-4,0,-2,1,-135,-2,False
6,0,3,1,2238,25,52059,2018,Defender,29,0,0,3,-1,-1392,-15,False
4,0,3,1,1939,27,52059,2019,Defender,30,-2,0,0,0,-299,2,False
5,0,1,0,1920,21,52059,2020,Defender,31,1,0,-2,-1,-19,-6,False
2,0,1,0,697,10,52059,2021,Defender,32,-3,0,0,0,-1223,-11,False
2,0,0,0,1099,18,52059,2022,Defender,33,0,0,-1,0,402,8,False
0,0,0,0,490,8,52059,2023,Defender,34,-2,0,0,0,-609,-10,True
0,0,0,0,90,1,73564,2018,Goalkeeper,30,,,,,,,False
0,0,0,0,120,1,73564,2020,Goalkeeper,31,0,0,0,0,30,0,False
0,0,0,0,360,4,73564,2021,Goalkeeper,32,0,0,0,0,240,3,False
1,0,0,1,1620,18,73564,2022,Goalkeeper,33,1,0,0,1,1260,14,False
1,0,0,0,1620,18,73564,2023,Goalkeeper,34,0,0,0,-1,0,0,True
2,0,1,2,1538,18,95810,2015,Defender,26,,,,,,,False
2,0,0,6,1286,20,95810,2016,Defender,27,0,0,-1,4,-252,2,False
1,0,0,8,2724,33,95810,2017,Defender,28,-1,0,0,2,1438,13,False
3,0,1,5,2994,36,95810,2018,Defender,29,2,0,1,-3,270,3,False
2,0,0,5,2731,33,95810,2019,Defender,30,-1,0,-1,0,-263,-3,False
0,0,0,6,3086,35,95810,2020,Defender,31,-2,0,0,1,355,2,False
2,0,2,2,1974,29,95810,2021,Defender,32,2,0,2,-4,-1112,-6,False
5,0,1,7,3369,39,95810,2022,Defender,33,3,0,-1,5,1395,10,False
5,0,1,11,2684,32,95810,2023,Defender,34,0,0,0,4,-685,-7,True
1,0,2,4,1973,38,67063,2012,Attack,23,,,,,,,False
2,0,10,5,2000,32,67063,2013,Attack,24,1,0,8,1,27,-6,False
4,0,8,6,2429,36,67063,2014,Attack,25,2,0,-2,1,429,4,False
1,0,5,2,758,15,67063,2015,Attack,26,-3,0,-3,-4,-1671,-21,False
0,0,4,4,934,20,67063,2016,Attack,27,-1,0,-1,2,176,5,False
2,0,9,2,2120,40,67063,2017,Attack,28,2,0,5,-2,1186,20,False
0,0,3,1,438,12,67063,2018,Attack,29,-2,0,-6,-1,-1682,-28,False
0,0,2,1,817,18,67063,2019,Attack,30,0,0,-1,0,379,6,False
0,0,6,3,1549,24,67063,2020,Attack,31,0,0,4,2,732,6,False
0,0,7,3,1642,28,67063,2021,Attack,32,0,0,1,0,93,4,False
0,0,6,4,2053,36,67063,2022,Attack,33,0,0,-1,1,411,8,False
3,0,3,3,1036,21,67063,2023,Attack,34,3,0,-3,-1,-1017,-15,True
0,0,0,0,39,1,142310,2014,Defender,25,,,,,,,False
9,1,2,1,3011,35,142310,2015,Defender,26,9,1,2,1,2972,34,False
1,0,0,0,913,11,142310,2016,Defender,27,-8,-1,-2,-1,-2098,-24,False
3,1,4,0,3649,41,142310,2018,Defender,28,2,1,4,0,2736,30,False
4,0,1,1,3150,35,142310,2019,Defender,29,1,-1,-3,1,-499,-6,False
2,0,1,1,1970,22,142310,2020,Defender,30,-2,0,0,0,-1180,-13,False
1,0,1,0,1141,13,142310,2021,Defender,31,-1,0,0,-1,-829,-9,False
2,0,0,1,687,11,142310,2022,Defender,32,1,0,-1,1,-454,-2,False
3,0,1,0,1089,16,142310,2023,Defender,33,1,0,1,-1,402,5,True
4,0,3,9,1901,36,60444,2012,Midfield,22,,,,,,,False
2,0,3,5,1744,25,60444,2013,Midfield,23,-2,0,0,-4,-157,-11,False
2,0,2,1,760,13,60444,2014,Midfield,24,0,0,-1,-4,-984,-12,False
3,0,4,8,2782,42,60444,2015,Midfield,25,1,0,2,7,2022,29,False
5,0,9,9,3527,41,60444,2016,Midfield,26,2,0,5,1,745,-1,False
6,0,7,4,2101,32,60444,2017,Midfield,27,1,0,-2,-5,-1426,-9,False
6,0,3,9,3427,42,60444,2018,Midfield,28,0,0,-4,5,1326,10,False
10,0,3,2,2976,40,60444,2019,Midfield,29,4,0,0,-7,-451,-2,False
5,0,1,0,2205,30,60444,2020,Midfield,30,-5,0,-2,-2,-771,-10,False
3,0,2,5,2456,40,60444,2021,Midfield,31,-2,0,1,5,251,10,False
3,0,0,1,1893,27,60444,2022,Midfield,32,0,0,-2,-4,-563,-13,False
0,0,0,0,5,1,60444,2023,Midfield,33,-3,0,0,-1,-1888,-26,True
1,0,0,2,181,3,61841,2012,Defender,25,,,,,,,False
5,0,2,0,2200,33,61841,2015,Defender,26,4,0,2,-2,2019,30,False
6,0,1,5,3099,36,61841,2016,Defender,27,1,0,-1,5,899,3,False
7,0,1,3,2158,28,61841,2017,Defender,28,1,0,0,-2,-941,-8,False
5,1,1,1,2073,25,61841,2018,Defender,29,-2,1,0,-2,-85,-3,False
7,0,0,1,2151,25,61841,2019,Defender,30,2,-1,-1,0,78,0,False
0,0,0,0,90,1,61841,2021,Defender,31,-7,0,0,-1,-2061,-24,False
12,0,0,1,3038,38,61841,2022,Defender,32,12,0,0,1,2948,37,False
1,0,0,3,1179,16,61841,2023,Defender,33,-11,0,0,2,-1859,-22,True
10,0,1,6,2923,33,82873,2015,Midfield,25,,,,,,,False
7,0,5,6,2970,35,82873,2016,Midfield,26,-3,0,4,0,47,2,False
2,0,7,8,3039,39,82873,2017,Midfield,27,-5,0,2,2,69,4,False
1,0,3,3,1884,26,82873,2018,Midfield,28,-1,0,-4,-5,-1155,-13,False
4,0,2,4,1893,30,82873,2019,Midfield,29,3,0,-1,1,9,4,False
3,0,3,8,2704,37,82873,2020,Midfield,30,-1,0,1,4,811,7,False
1,0,2,4,2388,33,82873,2021,Midfield,31,-2,0,-1,-4,-316,-4,False
6,0,10,10,3717,42,82873,2022,Midfield,32,5,0,8,6,1329,9,False
4,0,5,11,2633,30,82873,2023,Midfield,33,-2,0,-5,1,-1084,-12,True
5,1,2,3,3051,35,139208,2012,Defender,22,,,,,,,False
4,1,5,1,3883,46,139208,2013,Defender,23,-1,0,3,-2,832,11,False
9,1,10,6,4757,54,139208,2014,Defender,24,5,0,5,5,874,8,False
4,0,3,0,4050,45,139208,2015,Defender,25,-5,-1,-7,-6,-707,-9,False
5,0,4,0,2484,28,139208,2016,Defender,26,1,0,1,0,-1566,-17,False
2,0,1,0,2973,34,139208,2017,Defender,27,-3,0,-3,0,489,6,False
4,0,6,4,4465,50,139208,2018,Defender,28,2,0,5,4,1492,16,False
1,0,5,2,4590,50,139208,2019,Defender,29,-3,0,-1,-2,125,0,False
1,0,1,0,461,6,139208,2020,Defender,30,0,0,-4,-2,-4129,-44,False
4,0,3,5,4321,48,139208,2021,Defender,31,3,0,2,5,3860,42,False
4,0,3,1,3645,41,139208,2022,Defender,32,0,0,0,-4,-676,-7,False
2,1,2,2,2283,27,139208,2023,Defender,33,-2,1,-1,1,-1362,-14,True
3,0,2,2,1135,21,61842,2012,Attack,23,,,,,,,False
2,0,2,5,1765,32,61842,2013,Attack,24,-1,0,0,3,630,11,False
4,0,5,3,1588,29,61842,2014,Attack,25,2,0,3,-2,-177,-3,False
0,0,4,3,1322,19,61842,2015,Attack,26,-4,0,-1,0,-266,-10,False
4,0,3,7,2731,39,61842,2016,Attack,27,4,0,-1,4,1409,20,False
3,0,2,8,3175,37,61842,2017,Attack,28,-1,0,-1,1,444,-2,False
1,0,7,6,3366,42,61842,2018,Attack,29,-2,0,5,-2,191,5,False
0,0,1,1,1289,24,61842,2019,Attack,30,-1,0,-6,-5,-2077,-18,False
0,0,1,5,2264,35,61842,2020,Attack,31,0,0,0,4,975,11,False
3,0,5,3,1636,25,61842,2021,Attack,32,3,0,4,-2,-628,-10,False
0,0,1,2,837,17,61842,2023,Attack,33,-3,0,-4,-1,-799,-8,True
6,0,3,1,3458,39,82105,2012,Defender,22,,,,,,,False
5,0,4,2,3688,42,82105,2013,Defender,23,-1,0,1,1,230,3,False
4,0,3,0,1905,25,82105,2014,Defender,24,-1,0,-1,-2,-1783,-17,False
3,0,4,5,3690,41,82105,2015,Defender,25,-1,0,1,5,1785,16,False
3,0,1,0,2456,29,82105,2016,Defender,26,0,0,-3,-5,-1234,-12,False
3,0,1,0,2820,35,82105,2017,Defender,27,0,0,0,0,364,6,False
5,0,1,1,2255,30,82105,2018,Defender,28,2,0,0,1,-565,-5,False
0,0,2,0,1016,13,82105,2019,Defender,29,-5,0,1,-1,-1239,-17,False
2,0,1,2,866,12,82105,2020,Defender,30,2,0,-1,2,-150,-1,False
3,0,3,3,3539,40,82105,2021,Defender,31,1,0,2,1,2673,28,False
4,0,2,0,1515,20,82105,2022,Defender,32,1,0,-1,-3,-2024,-20,False
2,0,0,0,1060,14,82105,2023,Defender,33,-2,0,-2,0,-455,-6,True
3,0,2,0,2861,34,170321,2012,Defender,24,,,,,,,False
1,1,1,1,1139,18,170321,2013,Defender,25,-2,1,-1,1,-1722,-16,False
4,0,0,0,2199,26,170321,2014,Defender,26,3,-1,-1,-1,1060,8,False
3,0,1,0,1986,24,170321,2015,Defender,27,-1,0,1,0,-213,-2,False
2,0,0,0,1693,21,170321,2017,Defender,28,-1,0,-1,0,-293,-3,False
1,0,0,0,1987,26,170321,2018,Defender,29,-1,0,0,0,294,5,False
2,0,0,0,1229,16,170321,2019,Defender,30,1,0,0,0,-758,-10,False
2,0,1,0,1376,16,170321,2020,Defender,31,0,0,1,0,147,0,False
2,0,0,0,288,4,170321,2021,Defender,32,0,0,-1,0,-1088,-12,False
0,0,0,0,185,4,170321,2023,Defender,33,-2,0,0,0,-103,0,True
7,0,1,1,3510,39,148153,2017,Defender,27,,,,,,,False
8,0,3,1,3363,38,148153,2018,Defender,28,1,0,2,0,-147,-1,False
9,0,3,3,3231,36,148153,2019,Defender,29,1,0,0,2,-132,-2,False
5,2,5,0,3233,36,148153,2020,Defender,30,-4,2,2,-3,2,0,False
3,1,1,0,2814,32,148153,2021,Defender,31,-2,-1,-4,0,-419,-4,False
5,0,2,0,3618,40,148153,2022,Defender,32,2,-1,1,0,804,8,False
7,1,3,0,2294,27,148153,2023,Defender,33,2,1,1,0,-1324,-13,True
0,0,1,0,138,8,108725,2014,Attack,26,,,,,,,False
1,0,10,1,1635,24,108725,2017,Attack,27,1,0,9,1,1497,16,False
2,0,13,3,2890,45,108725,2018,Attack,28,1,0,3,2,1255,21,False
1,0,14,1,2585,34,108725,2019,Attack,29,-1,0,1,-2,-305,-11,False
0,0,12,3,2828,34,108725,2020,Attack,30,-1,0,-2,2,243,0,False
1,0,6,0,2946,38,108725,2021,Attack,31,1,0,-6,-3,118,4,False
0,0,3,0,861,26,108725,2022,Attack,32,-1,0,-3,0,-2085,-12,False
1,0,9,1,1253,24,108725,2023,Attack,33,1,0,6,1,392,-2,True
3,0,1,0,1787,25,135343,2015,Defender,25,,,,,,,False
2,0,0,1,373,7,135343,2016,Defender,26,-1,0,-1,1,-1414,-18,False
10,0,2,2,2401,27,135343,2017,Defender,27,8,0,2,1,2028,20,False
12,0,4,1,2223,27,135343,2018,Defender,28,2,0,2,-1,-178,0,False
5,0,2,0,2062,26,135343,2019,Defender,29,-7,0,-2,-1,-161,-1,False
4,1,1,0,1245,18,135343,2020,Defender,30,-1,1,-1,0,-817,-8,False
4,0,2,2,2431,28,135343,2021,Defender,31,0,-1,1,2,1186,10,False
7,0,1,3,3210,36,135343,2022,Defender,32,3,0,-1,1,779,8,False
6,0,4,1,2805,33,135343,2023,Defender,33,-1,0,3,-2,-405,-3,True
0,0,0,0,509,10,111195,2012,Defender,21,,,,,,,False
6,1,2,2,2779,34,111195,2013,Defender,22,6,1,2,2,2270,24,False
7,0,4,0,2990,34,111195,2014,Defender,23,1,-1,2,-2,211,0,False
6,0,2,8,3907,44,111195,2015,Defender,24,-1,0,-2,8,917,10,False
16,0,0,3,3849,44,111195,2016,Defender,25,10,0,-2,-5,-58,0,False
10,0,1,2,3048,36,111195,2017,Defender,26,-6,0,1,-1,-801,-8,False
4,0,1,0,788,14,111195,2018,Defender,27,-6,0,0,-2,-2260,-22,False
7,0,0,0,2543,30,111195,2019,Defender,28,3,0,-1,0,1755,16,False
3,0,1,1,2403,31,111195,2020,Defender,29,-4,0,1,1,-140,1,False
7,0,1,1,3092,37,111195,2021,Defender,30,4,0,0,0,689,6,False
6,0,1,1,2312,34,111195,2022,Defender,31,-1,0,0,0,-780,-3,False
3,0,0,1,1277,22,111195,2023,Defender,32,-3,0,-1,0,-1035,-12,True
0,0,0,0,2700,30,127202,2012,Goalkeeper,22,,,,,,,False
0,0,0,0,810,9,127202,2013,Goalkeeper,23,0,0,0,0,-1890,-21,False
0,0,0,1,2700,30,127202,2014,Goalkeeper,24,0,0,0,1,1890,21,False
0,0,0,0,3510,39,127202,2015,Goalkeeper,25,0,0,0,-1,810,9,False
0,0,0,0,2340,26,127202,2017,Goalkeeper,26,0,0,0,0,-1170,-13,False
2,0,0,0,3330,37,127202,2018,Goalkeeper,27,2,0,0,0,990,11,False
0,0,0,0,2925,33,127202,2019,Goalkeeper,28,-2,0,0,0,-405,-4,False
0,0,0,0,540,6,127202,2020,Goalkeeper,29,0,0,0,0,-2385,-27,False
1,0,0,0,3330,37,127202,2021,Goalkeeper,30,1,0,0,0,2790,31,False
2,0,0,0,3420,38,127202,2022,Goalkeeper,31,1,0,0,0,90,1,False
2,0,0,0,1890,21,127202,2023,Goalkeeper,32,0,0,0,0,-1530,-17,True
0,0,5,0,771,13,123682,2015,Attack,24,,,,,,,False
1,0,6,1,1412,21,123682,2016,Attack,25,1,0,1,1,641,8,False
